S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate (Rs),Amount (Rs)
1,2025051101020969,CYCL,62,57,30,1648.0,49440.0
2,2025051101020968,CYCL,62,38,20,1648.0,32960.0
3,2025051104041884,PMHPL,60,52,140,311.0,43540.0
4,2025051104041883,UPCL,44,57,65,426.5,27722.5
5,2025051103012781,JBBL,41,13,1000,333.0,333000.0
6,2025051103012780,JBBL,41,53,65,332.0,21580.0
7,2025051103012779,HLI,58,8,10,414.0,4140.0
8,2025051101020967,GVL,58,48,80,461.0,36880.0
9,2025051101020966,GVL,58,53,20,460.5,9210.0
10,2025051101020965,GVL,58,1,100,460.5,46050.0
11,2025051104041882,AHPC,45,58,1000,304.0,304000.0
12,2025051101020964,HBL,44,49,100,218.0,21800.0
13,2025051104041881,HURJA,29,81,10,276.0,2760.0
14,2025051103012778,PFL,29,38,10,417.0,4170.0
15,2025051101020963,MKJC,6,34,15,527.4,7911.0
16,2025051101020962,MKJC,4,34,85,528.0,44880.0
17,2025051101020961,MEHL,41,34,238,463.6,110336.8
18,2025051101020960,MEHL,48,34,70,464.0,32480.0
19,2025051101020959,MEHL,26,34,50,465.0,23250.0
20,2025051101020958,MEHL,42,34,300,465.0,139500.0
21,2025051101020957,MEHL,17,34,50,465.0,23250.0
22,2025051101020956,MEHL,56,34,92,465.0,42780.0
23,2025051104041880,RIDI,36,21,1000,266.0,266000.0
24,2025051104041879,GHL,51,6,1000,260.0,260000.0
25,2025051104041878,RADHI,16,43,55,744.2,40931.0
26,2025051104041877,GLH,21,17,100,273.9,27390.0
27,2025051104041876,AKPL,18,63,500,257.0,128500.0
28,2025051104041875,NICL,60,41,100,779.8,77980.0
29,2025051101020955,GMLI,55,60,200,2579.0,515800.0
30,2025051101020954,HIDCLP,59,91,100,204.0,20400.0
31,2025051105013321,PHCL,28,45,177,640.2,113315.4
32,2025051105013320,PHCL,48,45,500,640.4,320200.0
33,2025051105013319,PHCL,44,45,1000,640.4,640400.0
34,2025051105013318,PHCL,65,45,373,640.4,238869.2
35,2025051103012777,CFCL,36,45,100,544.0,54400.0
36,2025051105013317,NRN,8,1,10,2020.0,20200.0
37,2025051103012776,SLBSL,45,42,10,1475.0,14750.0
38,2025051105013316,PHCL,42,16,10,642.0,6420.0
39,2025051103012775,SAPDBL,58,87,100,812.0,81200.0
40,2025051103012774,NABBC,20,32,10,1575.0,15750.0
41,2025051104041874,SHEL,10,13,450,283.5,127575.0
42,2025051104041873,SHEL,10,58,50,283.2,14160.0
43,2025051104041872,BPCL,35,34,50,531.0,26550.0
44,2025051104041871,SHPC,80,35,100,617.0,61700.0
45,2025051103012773,SADBL,35,38,100,409.0,40900.0
46,2025051103012772,USLB,35,35,10,1920.0,19200.0
47,2025051104041870,CHL,39,66,85,508.1,43188.5
48,2025051104041869,CHL,36,66,15,508.5,7627.5
49,2025051104041868,HDHPC,19,35,400,211.0,84400.0
50,2025051104041867,HDHPC,19,74,435,211.0,91785.0
51,2025051104041866,HDHPC,19,71,380,210.9,80142.0
52,2025051104041865,RADHI,82,69,500,744.0,372000.0
53,2025051105013315,SLCF,32,62,500,9.61,4805.0
54,2025051101020953,SNLI,28,64,200,495.0,99000.0
55,2025051104041864,RIDI,81,32,410,265.2,108732.0
56,2025051105013314,SAHAS,1,8,39,518.2,20209.8
57,2025051101020952,HIDCLP,84,91,20,204.0,4080.0
58,2025051105013313,GCIL,29,35,1,517.0,517.0
59,2025051105013312,GCIL,29,58,11,517.0,5687.0
60,2025051105013311,HRL,58,58,19,936.0,17784.0
61,2025051103012771,SINDU,34,56,30,825.0,24750.0
62,2025051105013310,PHCL,65,34,100,640.4,64040.0
63,2025051104041863,BPCL,34,34,100,531.0,53100.0
64,2025051101020951,PRVU,58,52,99,201.1,19908.9
65,2025051101020950,IHL,53,11,10,610.0,6100.0
66,2025051104041862,UMHL,11,14,10,508.0,5080.0
67,2025051101020949,MKCL,46,18,10,1481.1,14811.0
68,2025051104041861,AHPC,45,38,350,304.0,106400.0
69,2025051104041860,AHPC,85,38,50,304.0,15200.0
70,2025051104041859,AHPC,46,38,200,304.3,60860.0
71,2025051101020948,GMLI,55,45,40,2579.0,103160.0
72,2025051101020947,GMLI,43,45,10,2579.9,25799.0
73,2025051104041858,CGH,50,26,10,889.0,8890.0
74,2025051101020946,GSY,58,89,100,9.23,923.0
75,2025051101020945,HIDCLP,14,91,530,204.0,108120.0
76,2025051101020944,HIDCLP,14,94,170,204.0,34680.0
77,2025051101020943,HIDCLP,14,41,100,204.0,20400.0
78,2025051101020942,MKHC,87,95,50,455.0,22750.0
79,2025051104041857,GLH,43,17,10,273.9,2739.0
80,2025051104041856,GLH,43,75,90,273.9,24651.0
81,2025051103012770,NICLBSL,42,13,50,616.0,30800.0
82,2025051104041855,AKPL,13,63,200,257.0,51400.0
83,2025051104041854,MEN,88,80,1200,582.0,698400.0
84,2025051104041853,HURJA,29,19,50,275.2,13760.0
85,2025051103012769,NABBC,69,21,10,1574.9,15749.0
86,2025051105013309,HIDCL,67,62,106,296.0,31376.0
87,2025051105013308,HIDCL,52,62,300,296.0,88800.0
88,2025051105013307,HIDCL,38,62,524,296.0,155104.0
89,2025051105013306,HIDCL,6,62,200,297.0,59400.0
90,2025051105013305,HIDCL,17,62,500,297.0,148500.0
91,2025051103012768,MLBL,95,62,400,386.2,154480.0
